ejgrants_0
OBJECTID,Announcement Date,Award Date,Project Title,Project Description,Recipient,Funding Source,Type of Award,Funding Status,Federal Award Identification Number,Award Amount,Location,Latitude,Longitude,Zip Code,City,County,State,Assistance Listing, Program,Investment Category,Website Url,Announcement Url,Data Extract Date,x,y
21,,11-25-2024,Imagine St. James Parish,"The Inflation Reduction Act (IRA) will allocate funding to the Louisiana Bucket Brigade for the purpose of executing environmental cleanup and weatherization initiatives. Specifically, the recipient is tasked with addressing two dump sites, conducting weatherization assessments, weatherizing 50 residences, and procuring additional resources for extending the weatherization program to homes across the district. The overarching goal of Imagine St. James Parish is to foster a more pristine and dynamic community by targeting dump site remediation and commencing a weatherization campaign within three predominantly Black rural communities characterized by high rates of homeownership and low or fixed incomes. Historically burdened by environmental pollution and lacking support, this locale stands to benefit from the project through blight reduction, minimized storm-related debris risks, decreased energy expenditures, and diminished exposure to extreme heat.

Activities:
The project aims to clean up two non-hazardous, informal, illegal dump sites and to weatherize homes in the local area. This will involve door-to-door engagement, community meeting invitations, texts, newspaper stories, Facebook live broadcasts, and other social media outreach. As a result of this effort, 50 homes across the three communities will be identified for weatherization. The Louisiana Bucket Brigade will conduct the weatherization for the homes that have been assessed as ready. Inclusive Louisiana will manage the list of homes and work with the appointed individuals as contacts, serving as the primary interface for scheduling.

Outcomes:
The project s anticipated deliverables include the cleanup of two non-hazardous, informal illegal dump sites, convening the community to make plans for the sites, conducting home assessments, and identifying 10-15 homes that fit within the budget scope. Additionally, the project aims to weatherize the first 2-5 homes that are prepared and ready for work to start. The expected outcomes of the project are neighborhoods in which all the homes are adequately cool in extreme heat, and dump sites are transformed into clean and valuable community assets. Furthermore, the project aims to reduce blight and risk from debris during the region and rsquo;s ongoing storms, lower energy bills, and reduce exposure to extreme heat. The intended beneficiaries are the black communities residing within the St. James and Ascension Parishes in South Louisiana.

Subrecipient:
Inclusive Louisiana is dedicated to connecting with communities through various outreach initiatives, including town hall meetings, community events, and online engagement. The program will actively seek out homeowners who could benefit from weatherization assistance to make their homes more energy-efficient and comfortable. This will involve conducting assessments to determine the specific needs of each household and providing tailored solutions to promote sustainable living.

Rural Roots Louisiana, a non-profit organization dedicated to sustainable rural development, will play a critical role as the Project Coordinator for this important initiative. In this capacity, the organization will work closely with homeowners to implement weatherization measures, such as insulation and sealing, aimed at improving energy efficiency and reducing utility costs. Additionally, Rural Roots Louisiana will leverage its expertise to oversee the cleanup of dump sites, ensuring proper disposal of waste and environmental protection.",LOUISIANA BUCKET BRIGADE,IRA,Primary,Awarded,02F74401,500000,Louisiana,30.14258,-91.40087,,,,LA,66.306,Environmental Justice Collaborative Problem-Solving Cooperative Agreement Program,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-collaborative-problem-solving-cooperative-agreement-5#:~:text=The%20Environmental%20Justice%20Collaborative%20Problem-Solving,,01-31-2025,-91.4008699999999,30.1425799991802
22,,07-30-2024,Ute Mountain Ute Tribe IRA Air Monitoring Fenceline FY24,"The agreement provides funding under the Inflation Reduction Act (IRA) to Ute Mountain Ute for the expansion and enhancement of their air monitoring activities. Specifically, the recipient will contract support for rental and operation of new regulatory multipollutant sensors, specifically SO2 and H2S sensors. The data from the sensors will be submitted to AQS. The recipent will attend a training for pollutant safety and monitoring. The recipient will purchase and install air quality sensors to place over reservation lands to increase access to real time data, specifically PM2.5 measurements. This data will be shared with the public. The recipient will also attend a conference and write reports for the EPA. 



Activities:
The activities include contracting support for the new regulatory multipollutant sensors and purchasing air quality sensors to place over reservation lands. The sensors will specifically provide data on SO2, H2S, and PM2.5. This will provide real time air quality data in 5 additional Tribal Reservation locations.  Locations that will be prioritized include new construction sites for anticipated solar projects and fenceline monitoring at oil and gas development. The data will be submitted to AQS and will be shared with public. The recipient will attend a training, a conference, and write reports for the EPA. 

Outcomes:
The anticipated deliverables include new areas measuring air pollution. The recipent will purchase 5 new multipollutant air sensors to put over reservations lands. The recipent will attend a training for Air Quality Monitoring.

The expected outcomes include increased Tribal communities monitored for air quality in previously unmonitored areas. This will aid in problem identification. There will be an increased public awareness of ambient air quality. There will be an increased number of citizens with access to information (local scale air quality data) and tools that increase understanding and reduction of environmental and human health risks, as well as an increased understanding of ambient air quality. Increased public awareness can lead to the reduction of human exposure to certain air pollutants.

The intended beneficiaries include people who work or live on Ute Mountain Ute s lands. 


Subrecipient:
No subawards are included in this assistance agreement.",UTE MOUNTAIN UTE TRIBE,IRA,Primary,Awarded,00I01900,145000,Ute Mountain Ute Tribe,37.097126,-108.650154,,,Montezuma County,CO,66.034,Fenceline Monitoring,Air Investments,https://www.epa.gov/grants/air-monitoring-and-air-quality-sensors-grants-under-inflation-reduction-act,,01-31-2025,-108.650154,37.0971259990921
23,,05-31-2024,Engaging schools and communities in environmental justice: Working together to improve water quality in rural Whitman County,"This project will engage high school students in small rural communities in Eastern Washington in a comprehensive inquiry-based water quality education and community science program. Students in six high schools that serve nine communities in the Palouse River watershed will monitor and collect water quality data in local streams. High school students will develop and implement a community education initiative in addition to participating in a Water Summit. Professionals from the agricultural, conservation, and local government sectors will participate as mentors in the educational program. Each school year will culminate in a Water Summit and a restoration project that addresses water quality concerns in the watershed. Funding for this project will establish a foundation for an ongoing monitoring, water education, and community science program for small rural communities in Whitman County.

Activities:
Project activities include providing water quality education opportunities and career education to rural high school classes, this entails tailoring curricula to include lesson plans and hands on activities. The grantee also plans to work with project partners to identify suitable locations for stream monitoring activities, as well as a yearlong comprehensive water quality program. The grantee also plans to host an annual  and ldquo;Envirothon and rdquo; competition, which will provide hands one problem solving skills. Additionally, the grantee plans to host tree planting initiatives as well as river cleanups. 

Outcomes:
The anticipated deliverables are water quality educated high school students, better water quality in implemented districts, increase in trees planted and reduction in harm caused to Environmental Justice communities in Washington with better environmental quality. The intended beneficiaries are primarily the high school students in the surrounding counties, as well as residents who will benefit from better water quality. 

Subrecipient:
Future Farmers of America will provide agricultural education courses and curriculum. Washington State Envirothon WSE will develop and facilitate hands-on educational lessons about water quality and provide study bin kits for water quality testing. Palouse Clearwater Environmental Institute will assist Palouse Conservation District (PCD) in identifying project locations and serve as an educational resource. The Phoenix Conservancy will help to identify project locations and needs and serve as an educational resource for the project. Palouse Discovery Science Center will collaborate with PCD to expand educational activities at the PDSC campus.",PALOUSE CONSERVATION DISTRICT,IRA,Primary,Awarded,02J58201,471635,"Whitman County, WA",46.905945,-117.53539,,,Whitman County,WA,66.312,Environmental Justice Government-to-Government,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-government-government-program,,01-31-2025,-117.53539,46.905944999059
24,,12-05-2024,FY2024 CTGR EPA CCGP Resident Resilience Center,"This agreement provides funding under the Inflation Reduction Act (IRA) to Confederated Tribes of Grand Ronde. Specifically, the project will allow Confederated Tribes of Grand Ronde to build a Resident Resilience Center (RRC  The RRC is designed to provide safe, accessible shelter and services to the Grand Ronde community during extreme climate events. Additionally, the Center will also serve as a center for health, community, education, and wellness. 

Activities:
This project shall result in the construction of a climate resilience center for Grand Ronde community members. Funding for each strategy was determined by the overall size of the building and associated costs for HVAC, electrical, and programmatic services required based on building size. The components of the facility and surrounding rounds were determined based on extensive community feedback over the past five years, as reflected in the Tribe and rsquo;s Community Development Plan.


Outcomes:
Through The Confederated Tribes of the Grand Ronde s EPA Environmental Justice, Community Change Grants, they will be building a Resident and Recreation Center that will act as a Community Resilience Hub during wildfires, snow, ice storms, power outages, and other disaster threats. The Resident and Recreation Center will incorporate solar-plus-storage technology into the design and construction, which will have the ability to function as a microgrid in the event of power outages or grid failure. The Confederated Tribes of the Grand Ronde will also implement sustainable construction practices and will offer amenities including, but not limited to an outdoor ballfield, bike and skate park, outdoor gathering space and meat processing center. 
Evaluation activities will include the tracking of the project timeline tracking, membership participation, GHG reductions and grant deliverables. Target measures are measurable and can be easily monitored through observation of power usage, use of the facility, and increased access to services and shelter during climate events.
The intended beneficiaries are disadvantaged communities.

Subrecipient:
Energy Trust of Oregon of Oregon, as the Tribe and rsquo;s statutory partner, will provide technical assistance and subject matter expertise to Grand Ronde regarding energy efficient commercial construction practices. The subaward costs include the design, project management and construction management of CTGR and rsquo;s CBO, Energy Trust of Oregon, totaling $58,500.",CONFEDERATED TRIBES OF GRAND RONDE,IRA,Primary,Awarded,02J88501,20030841,Confederated Tribes of the Grand Ronde Community of Oregon,45.142567,-123.64081,,,Yamhill County,OR,66.616,Environmental Justice Community Change Grants,Protecting Communities,https://www.epa.gov/inflation-reduction-act/inflation-reduction-act-community-change-grants-program,,01-31-2025,-123.64081,45.1425669990568
25,,06-06-2024,City of Milwaukee Healthy Homes &amp; ECO Neighborhoods,"This agreement provides funding under the Inflation Reduction Act (IRA  The agreement provides funding to City of Milwaukee.  The proposed Healthy Homes  and amp; City of Milwaukee s Environmental Collaboration Office (ECO) Neighborhoods project seeks to expand awareness of and access to local and statewide housing improvement programs and federal funding sources through collaborative outreach and marketing efforts and by funding energy audits for low income residents living in historically disinvested neighborhoods on Milwaukee and rsquo;s predominately African American north side in the 53210, 53216, 53208, 53206, 53209 areas, and predominately Latinx south side in the 53204, 53207, 53215, where lack of access to affordable, healthy, climate-resilient housing is most pervasive. Working with diverse, community-based partners from environmental and health non-profits, faith-based organizations, and local government, they will use grassroots efforts to distribute resource guides with information about common home health issues and small-scale efforts residents can take to address them like how to properly clean lead paint chips, as well as large-scale efforts like making energy efficiency improvements that address climate change. This will be complemented by a housing program section, providing descriptions of all the housing improvement programs and funding sources available, and emphasizing low-to-no cost services. The program guides will be distributed directly to residents by neighborhood-based, paid and volunteer outreach support staff through community events, neighborhood canvassing, etc. This information will also be shared broadly through broadcast and social media marketing. $200,000 of the project award will fund energy audits for low income homeowners. The audits will identify necessary home repairs, energy improvements, and financing opportunities. Referrals to additional housing resources will be made as needed, providing homeowners with the knowledge and tools to take the next steps towards increasing the health and climate resilience of their homes.

Activities:
The activities include:

1. Resilience Ambassadors and Outreach Support Teams: One RA will be hired by Sherman Park Community Association (SPCA) and another by Clean WI (CW) to plan and facilitate the project and rsquo;s community outreach efforts on the north side in year one. By year two, Clean WI will hire another bilingual RA who will concentrate efforts on the south side  RAs will be trained by SPCA and CW with support from ECO staff to educate residents on healthy homes programs and resources. Regular training by RAs will onboard new and update existing outreach support staff on programs and resources, ensuring residents are receiving the most current information. 

2. ECO Neighborhoods: Sherman Park and Century City and rsquo;s ECO Neighborhood Teams will continue to receive support from ECO, SPCA, and CW to engage with this and other projects unique to each group. ECO will work with project partners to connect with residents on the south side and establish at least one new ECO Neighborhood Team (ENT  ECO will follow the established procedures for onboarding a new ENT and will connect them with an RA for healthy homes training after they are firmly established. 

3. Energy Audits and Resource Referrals: $200,000 of the project award will fund energy audits for low income homeowners and will identify energy saving and other opportunities to reduce environmental and air quality hazards in the home including asthma triggers. During RA and rsquo;s healthy homes outreach, they will refer homeowners to relevant housing programs and resources like the Weatherization Assistance Program or Childhood Lead Prevention Program as needed based on an eligibility screening. RA and rsquo;s will follow up with the homeowners post-audit to refer them to programs that can further reduce the cost of the improvements and support a healthier home environment. They wa",CITY OF MILWAUKEE,IRA,Primary,Awarded,0E+00,1000000,"Milwaukee, WI",43.064125,-87.96719,,Milwaukee,,WI,66.312,Environmental Justice Government-to-Government,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-government-government-program,,01-31-2025,-87.96719,43.0641249990589
26,,05-08-2024,"Catalyzing Community: Revitalizing the Cooperative Cultural Center for Health, Justice, and Inclusion","This agreement provides funding under the Inflation Reduction Act (IRA  The agreement provides funding to Town of Bluff. Specifically, the recipient will Project Abstract: The Town of Bluff will utilize the EJG2G $1,000,000 grant monies to deliver measurable environmental and public health benefits within a rural Utah community. This project will enable the Town of Bluff (ToB) and Utah Din and eacute; Bik and eacute;yah (UDB), an Indigenous-led non-profit organization, to operationalize a model partnership and rejuvenate the jointly owned Cooperative Cultural Center building (CCC) located at 630 E Black Locust Avenue in Bluff. The CCC building was constructed in phases beginning in the 1950s and used as an elementary school until 2018. The property was purchased by the ToB and UDB on October 8, 2021, to create an inclusive space in which to promote public health, safety, welfare, economic development, conduct town business, and to host non-profit activities including Native American arts and cultural programs. 

Due to the age of the building, it requires extensive renovations including the installation of a fire suppression sprinkler system, encapsulation of approximately 2,500 square feet of asbestos floor tile and mastic, and installation of insulation throughout the currently un-insulated building. Main systems such as the HVAC and electrical will also be inspected, repaired, and replaced to ensure the building is ready for use by both Town of Bluff and Utah Din and eacute; Bik and eacute;yah. Non-profit, community-based organization Utah Din and eacute; Bik and eacute;yah will use statutory subaward funds to renovate portions of the building to create office space, an entrance, reception area, art gallery, and a conference center. Pass-through funding will also support purchasing of office furnishings.  

Throughout the renovation process, we are committed to using environmentally conscientious materials and systems to ensure long-term sustainability of the building. This includes readying the building for future-planned solar power. Our community-based non-profit partner will utilize passthrough funding to ready the building for their programs, with specific renovations designed to improve the space for a conference center, offices, and reception areas. 

While many of the listed renovations will create the physical space in which the organizations will operate, the overarching goal of the building is to create an inclusive space for the community and to expand capacity for UDB and other partners to carry-out their missions. The ToB, UDB, and partnering organizations provide essential services to a community disproportionately impacted by environmental, economic, and political injustice.

Activities:
The activities include Project Activities this project will enable the Town of Bluff (ToB) as the recipient and Utah Din and eacute; Bik and eacute;yah (UDB) as the subrecipient, an Indigenous-led non-profit organization, to operationalize a model partnership and rejuvenate the jointly owned Cooperative Cultural Center building (CCC) located at 630 E Black Locust Avenue in Bluff. The property was purchased by the ToB and UDB on October 8, 2021, to create an inclusive space in which to promote public health, safety, welfare, economic development, conduct town business, and to host non-profit activities including Native American arts and cultural programs. 

The EPA EJG2G award will provide funding for the following activities for the CCC building:
1.	Design and installation of a fire suppression system
2.	Mitigation through encapsulation of 2,500 feet of tile containing non-friable asbestos and asbestos mastic materials, as well as installation of new flooring throughout the building
3.	Insulation of the cinderblock building
4.	Installation of a new heating/cooling system  
5.	Electrical work to replace fluorescent lighting and get the building  and ldquo;solar ready and rdquo; 
6.	Quality Assurance Project Plan creation and adherenc",TOWN OF BLUFF,IRA,Primary,Awarded,00I52800,1000000,"Bluff, UT",37.284348,-109.55145,84512,Bluff,San Juan County,UT,66.312,Environmental Justice Government-to-Government,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-government-government-program,,01-31-2025,-109.55145,37.2843479990904
27,,12-13-2024,Inflation Reduction Act &ndash; Fenceline Air Monitoring,"The agreement provides funding under the Inflation Reduction Act (IRA) to the Gila River Indian Community of the Gila River Indian Reservation for the expansion and enhancement of their air monitoring activities.  Specifically, the recipient will document project progress and budget reporting; replace air monitoring equipment; and upgrade their staff workspace and equipment maintenance area.

This assistance agreement provides full Federal funding in the amount of $300,000. See terms and conditions.


Activities:
The activities include conducting regular reviews of project progress, and providing updates to relevant stakeholders; replacing the PM10 and Ozone air monitoring and support equipment currently at the three regulatory air monitoring sites (Sacaton, Casa Blanca, and St Johns); and procuring a pre and #8208;fabricated modular office structure with a dedicated air monitoring equipment maintenance area.

Outcomes:
The anticipated deliverables include 13 pieces of new equipment deployed at existing air monitoring sites; 3 existing air monitoring sites and equipment supported and upgraded; and completing air monitoring related performance testing and/or audits.

The expected outcomes include an increase of disadvantaged communities monitored for air quality; increased sustainability of ambient air monitoring networks; informed policy and decision making by air agencies; and benefits for disadvantaged communities.

The intended beneficiaries include the Gila River Indian Reservation residents.


Subrecipient:
No subawards are included in this assistance agreement.",GILA RIVER INDIAN COMMUNITY,IRA,Primary,Awarded,97T21501,300000,Gila River Indian Community of the Gila River Indian Reservation Arizona,33.15089,-111.931496,,,Pinal County,AZ,66.034,Fenceline Monitoring,Air Investments,https://www.epa.gov/grants/air-monitoring-and-air-quality-sensors-grants-under-inflation-reduction-act,,01-31-2025,-111.931496,33.1508899991358
28,,11-04-2024,Madras Community Schoolyard Environmental Justice,"The Trust for Public Land (TPL) is partnering with the school district, students, teachers, community organizations, and the Confederated Tribes of Warm Springs to design and create a green schoolyard at Madras Elementary School. Specifically, the recipient will implement the project to directly address the environmental and public health issues of lack of access to physical activity amenities, exposure to air pollution, and vulnerability to excessive heat as air temperatures rise due to climate change.

Activities:
The funding will support construction of a new community schoolyard, building community partnerships and community capacity to engage in problem solving and decision-making processes, classroom education, community events, outdoor environmental learning, and regular use of the schoolyard outside school hours as a community hub. 


Outcomes:
The deliverables are a space for environmental and public health education including better understanding of advocacy for community and public work projects. The expected outcomes are site improvements that reduce exposure to air pollution and increase resilience to  and #64258;ooding and excessive heat. The intended beneficiaries are the school students and the surrounding community.

Subrecipient:
No subawards are included in this assistance agreement.",THE TRUST FOR PUBLIC LAND,IRA,Primary,Awarded,02J56001,500000,"Madras, OR",44.63299,-121.12373,97741,Madras,Jefferson County,OR,66.306,Environmental Justice Collaborative Problem-Solving Cooperative Agreement Program,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-collaborative-problem-solving-cooperative-agreement-5#:~:text=The%20Environmental%20Justice%20Collaborative%20Problem-Solving,,01-31-2025,-121.12373,44.6329899990569
29,,01-15-2025,Grantmaker - Subsequent Award,"This agreement provides funding under the Inflation Reduction Act to Fordham University to support nonprofit organizations and organizations representing disadvantaged communities through its Thriving Communities Grantmaker Initiative titled Flourishing In Communities (FIC  The recipient, a Regional Grantmaker, proposes an intersectional approach to place frontline communities in positions of power to advance environmental and nbsp;justice and climate justice in disadvantaged and hard -to-reach communities and communities disproportionately impacted by climate change, pollution, and other environmental stressors in New York, New Jersey, Puerto Rico, and U.S. Virgin Islands. Specifically, Fordham University intends to award and manage competitive and noncompetitive subgrants through its Flourishing In Communities funding program. In addition, the recipient will oversee programmatic tracking, distribute funds and provide wrap-around support to  ensure the success of the subgrantees. This Grantmaker funding program will reduce barriers the federal grant process places on small, resource-constrained community-based nonprofits supporting the underserved communities.

The purpose of this award is to fund the subsequent award for the pass-through entity Fordham University.

Activities:
The activities in the subsequent award include a range of initiatives designed to promote and implement a comprehensive subgrant funding program. This includes hosting a series of meetings, workshops, and webinars both in person and virtual to encourage eligible stakeholder participation and raise awareness about the subgrant opportunities. Also, to effectively implement the subgrant program, Fordham University will open their Thriving Communities subgrant program for competitive and noncompete awards, develop a Quality Management Plan, conduct application reviews, establish an evaluate process to review and rank eligible application, manage and distribute funds to eligible subgrantees. In addition, Fordham University will conduct post award monitoring of subgrantees to ensure compliance and assess progress with regular reporting on the outcomes of the funded projects. 

Outcomes:
It is anticipated that this project will result in the following deliverables and expected outcomes: development of  a Quality Management Plan, forty-eight information sessions across New York, New Jersey, Puerto Rico and the U.S. Virgin Islands, development a robust communication strategy, award approximately 300 competitive and non-competitive subawards to eligible subgrantees, create an intuitive online platform and dashboard for subgrantees to easily to apply, track projects and access relevant information and resources related to the grant process. Direct Beneficiaries of the program include resident located in New Jersey, New York, Puerto Rico and The United States Virgin Island and Indian Nations.


Subrecipient:
Fordham University will administer subawards under this Cooperative Agreement with activities including project coordination, application Intake, and outreach efforts. As a pass-through entity, Fordham University will also manage and distribute funds through its Thriving Communities Grantmaker program to eligible subgrantees.",FORDHAM UNIVERSITY,IRA,Primary,Awarded,96265602,52000000,New Jersey,39.566463,-74.72432,,,,NJ,66.615,Environmental Justice Thriving Communities Grantmaking,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-thriving-communities-grantmaking-program,,01-31-2025,-74.72432,39.5664629990734
30,,05-08-2024,Center for an Ecology-Based Economy - Collaborative Problem-Solving 2023,"The agreement provides funding to the Center for an Ecology-Based Economy. Specifically, the recipient will support the town of Norway, Maine to implement local projects, and develop a climate action plan linked to their comprehensive plan. Materials and tools developed in Norway, Maine will be shared to help other local, rural municipalities increase climate resilience and improve the quality of the environment and public health. They will also accelerate their work with the Oxford Hills School District to conduct energy audits and support local transition to renewable energy including building efficiency upgrades, providing education for the school board, staff and community members to increase climate resilience and improve the indoor quality of the learning environment for local students. Additionally the project will design and deliver educational workshops around forest management practices that can generate income while sequestering carbon and protecting watersheds.

Activities:
Project activities include hiring a project coordinator to manage project timelines and budgets, create educational materials and templates, design and facilitate workshops and events, and generate marketing materials, press releases and social media content. The project will develop a climate action plan for the town of Norway, Maine, incorporate climate concerns into their comprehensive plan, and build on existing efforts to identify vulnerable populations. The project will support the town and rsquo;s climate action plan through collaboration with the Norway Climate Action Advisory Committee (NCAAC) including conducting research on other model plans, finalize and present results of infrastructure and social vulnerability assessments that are currently underway, facilitate a robust public engagement process, and provide additional assistance. Using Norway, Maine as a model, this approach will be replicated in ten other communities in the region. Template and guideline documents will be developed including climate action plans specific to rural inland towns, vulnerable population assessments, vulnerable infrastructure assessments, and guidelines for developing solar on locations including landfills. Support for the other ten municipalities will including forming and maintaining climate committees and identifying resources for implementing projects. The recipient and partners will conduct trainings and create educational materials for town officials, school board members, and community members on a range of topics including renewable energy, forest management strategies for carbon sequestration, watershed protection, and other issues. The recipient and project partners will work with landowners and solicit public input to design up to six projects to increase soil carbon, decrease erosion, conserve biodiversity and diversify potential income streams. The project will also prepare energy assessments for local school buildings in the Oxford Hills School District, prepare reports on energy-efficiency and weatherization projects, prepare reports on renewable energy options and provide guidance on renewable energy contracts and projects and assist in pursuing opportunities to electrify vehicle fleets. 

Outcomes:
The anticipated deliverables include educational materials and templates, marketing materials, press releases and social media content; training and educational materials for town officials, school board members, and community members on renewable energy, forest management strategies for carbon sequestration, watershed protection, and other topics delivered through 12 public engagement sessions. A climate action plan for the town of Norway, Maine and at least 4 templates for addressing climate change through municipal government shared with 10 other local communities. Other activities include formation of climate committees and identifying and sharing funding opportunities and designs for up to six projects to increase soil c",Center for an Ecology-Based Economy,IRA,Primary,Awarded,00A01352,150000,"Oxford County, ME",44.4945,-70.73442,,,Oxford County,ME,66.306,Environmental Justice Collaborative Problem Solving,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-collaborative-problem-solving-cooperative-agreement-5#:~:text=The%20Environmental%20Justice%20Collaborative%20Problem-Solving,,01-31-2025,-70.7344199999999,44.494499999057
31,,05-21-2024,Inflation Reduction Act &ndash; Environmental Justice Collaborative Problem-Solving,"Kaunalewa and its community partners propose a comprehensive environmental mitigation and revitalization program to elevate capacity of existing programs and widely supported initiatives. The project leverages an EPA Brownfield Job Training awarded in FY2022 and previous Environmental Justice Collaborative Problem-Solving (EJCPS) grant-funded projects and programming. This broad initiative will include community-oriented and collaborative inclusion, leading to greater participation of Native Hawaiian families across the project. Core proposed activities include solid waste mitigation along aquatic passageways, community remediation programs to reduce harmful environmental activities (e.g., illegal dumping), green infrastructure strategies to improve water and soil quality. This comprehensive environmental justice program will further advance local economic development, heavily dependent on agricultural output and, by extension, environmental stewardship. 

This assistance agreement provides full federal funding in the amount of $500,000.  Preaward costs are approved back to May 1, 2024.



Activities:
The activities include: Installation of water filtration systems in public spaces and schools impacted by contamination; Establishing a repository of native plants and trees for distribution to community members; Disposal of nuisance vehicles and abandoned industrial waste;  Adult environmental job training and youth conservation education, and Green remediation of spaces in the community.

Outcomes:
Kaunalewa and its partners seek to improve water quality and public access to clean water and agricultural purposes in the Mana Ahupuaa. This project will principally serve the residents of Mana Ahupuaa, who have been historically marginalized and exposed to generational toxic manufacturing and contaminants from illegal dumping. Kaunalewa will bring a voice, dignity, safety, and agency to Mana Ahupuaa s people across three community empowerment themes. 

Kaunalewa will provide immediate relief to the community through a comprehensive environmental revitalization project. It will educate the local population by raising awareness about local toxic conditions and their potential impact on health. Lastly, Kaunalewa will lead and also empower the local Native Hawaiian community to advocate for clean water through participation in legislative decision-making. 

Subrecipient:
Kekaha Hawaiian Homestead Association Staff provide environmental educational opportunities to Hawaiian beneficiaries in their native Hawaiian language. As well as installing native plants and trees along aquatic passageways on homestead lands.

West Kauai United Methodist Church will support clean water awareness to elderly Kekaha Sugar Plantation Workers and parents of young children. The church will also provide volunteers for distributing and installing native trees and plants. Kaunalewa plans to maintain and sustain these relationships into the future and will leverage the partnership advanced through this partnership towards current and future environmental, economic, and social justice projects.

Surfrider Foundation will assist with organized beach cleanups and the harmful impacts of illegal dumping education. 

Earthjustice will use its environmental expertise to assess existing water and conservation management plans that will help inform the public on the depth of the issue and how people can advocate for cleaner water policies.",k8562 - Kaunalewa,IRA,Primary,Awarded,98T89001,500000,"Kauai County, HI",22.012037,-159.70596,,,Kauai County,HI,66.306,Environmental Justice Collaborative Problem-Solving Cooperative Agreement Program,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-collaborative-problem-solving-cooperative-agreement-5#:~:text=The%20Environmental%20Justice%20Collaborative%20Problem-Solving,,01-31-2025,-159.70596,22.0120369993438
32,,06-26-2024,Expand Air Quality Monitoring Capacity on the Coeur d&rsquo;Alene Reservation to Address Increasing Wildfire Hazards,"The agreement provides funding under the Inflation Reduction Act (IRA) to for the expansion and enhancement of their air monitoring activities. Specifically, the recipient will purchase, install, and operate a BAM1022 Air Station, meteorological equipment for new site and existing site, and ten Purple Air Quality Sensors to deploy on the Reservation. 

Activities:
The activities include installing and operating a new BAM1022 Air Station at or near DeSmet, Idaho, on the southern end of the Reservation, as well as meteorological equipment for new site and existing site in Plummer to provide information about precipitation, barometric pressure, solar radiation, temperature/RH, and new data loggers. The Tribe will also procure and install of ten Purple Air Quality Sensors at Tribal gathering places on the Reservation. 

Outcomes:
The anticipated deliverables include procurement of a new particulate matter 2.5 air monitor and two metrological stations, establishment of one new site and preparation for an existing site, training of a new Air Quality Specialist on set-up, maintenance, and operation of the new particulate air monitor and two metrological stations and data management, establishing a contract for assistance in downloading, storage, and analysis of data, developing a Quality Assurance Project Plan, and administrative and fiscal reporting. The recipient will also place Purple Air Sensors across the Reservation, provide training for building staff and users on reading the Purple Air Sensors, develop, data collection sheets for community monitoring during adverse air quality events, as well as conduct community outreach about the Air Quality Index, corresponding recommendations, and mitigation strategies. 

The anticipated outcomes include increased public awareness of ambient air quality; increased access to information and tools that increase understanding and reduction of environmental and human health risks; information about air quality in previously unmonitored areas; change in behavior of public based on new air quality information; publicly available air quality monitoring data for communities; benefits for disadvantaged communities; increased sustainability of ambient air monitoring networks; and informed policy and decision making by air agencies.

The intended beneficiaries include Reservation residents. 


Subrecipient:
No subawards are included in this assistance agreement.",COEUR D'ALENE TRIBE,IRA,Primary,Awarded,02J66001,75000,"Plummer, ID",47.301643,-116.91147,83851,,Benewah County,ID,66.034,Fenceline Monitoring,Air Investments,https://www.epa.gov/grants/air-monitoring-and-air-quality-sensors-grants-under-inflation-reduction-act,,01-31-2025,-116.91147,47.30164299906
